# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1727728074123000000,1727728134923000000,164626432
FilePageCacheLockFree.totalBytesWritten,1727728074123000000,1727728134923000000,0
FilePageCacheLockFree.totalPagesHandedOver,1727728074123000000,1727728134923000000,0
FilePageCacheLockFree.nativeBytesInUse,1727728074123000000,1727728134923000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1727728074123000000,1727728134923000000,531174
MappedFileStorage.totalBytesMapped,1727728074123000000,1727728134923000000,173277184
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1727728074123000000,1727728134923000000,0
FilePageCache.capacityInBytes,1727728074123000000,1727728134923000000,503316478
FilePageCacheLockFree.totalBytesRequested,1727728074123000000,1727728134923000000,0
MappedFileStorage.totalPagesMapped,1727728074123000000,1727728134923000000,9
FileChannelInterruptsRetryer.totalRetriedAttempts,1727728074123000000,1727728134923000000,0
StreamlinedBlobStorage.recordsDeleted,1727728074123000000,1727728134923000000,3
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1727728074123000000,1727728134923000000,110671
FilePageCacheLockFree.totalPagesReadMs,1727728074123000000,1727728134923000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1727728074123000000,1727728134923000000,0
DirectByteBufferAllocator.hits,1727728074123000000,1727728134923000000,3
FilePageCacheLockFree.totalPagesReclaimed,1727728074123000000,1727728134923000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1727728074123000000,1727728134923000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1727728074123000000,1727728134923000000,0
StorageLockContext.competingThreads.avg,1727728074123000000,1727728134923000000,0.0
FilePageCache.uncachedFileAccess,1727728074123000000,1727728134923000000,217
FilePageCacheLockFree.totalPagesWritten,1727728074123000000,1727728134923000000,0
StreamlinedBlobStorage.recordsRelocated,1727728074123000000,1727728134923000000,0
DirectByteBufferAllocator.reclaimed,1727728074123000000,1727728134923000000,3
FilePageCache.maxRegisteredFiles,1727728074123000000,1727728134923000000,418
StreamlinedBlobStorage.recordsAllocated,1727728074123000000,1727728134923000000,7156
FilePageCache.pageHits,1727728074123000000,1727728134923000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1727728074123000000,1727728134923000000,0
FilePageCacheLockFree.totalPagesAllocated,1727728074123000000,1727728134923000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1727728074123000000,1727728134923000000,0
FilePageCacheLockFree.totalPagesRequested,1727728074123000000,1727728134923000000,0
FilePageCache.totalPageLoadsUs,1727728074123000000,1727728134923000000,424345
MappedFileStorage.totalTimeSpentOnMappingUs,1727728074123000000,1727728134923000000,456213
FilePageCacheLockFree.totalClosedStoragesReclaimed,1727728074123000000,1727728134923000000,0
FilePageCache.pageLoads,1727728074123000000,1727728134923000000,160
FilePageCacheLockFree.totalNativeBytesReclaimed,1727728074123000000,1727728134923000000,0
DirectByteBufferAllocator.misses,1727728074123000000,1727728134923000000,157
StorageLockContext.competingThreads.max,1727728074123000000,1727728134923000000,0
FilePageCacheLockFree.totalBytesRead,1727728074123000000,1727728134923000000,0
FilePageCacheLockFree.totalPagesWriteMs,1727728074123000000,1727728134923000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1727728074123000000,1727728134923000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1727728074123000000,1727728134923000000,0
DirectByteBufferAllocator.disposed,1727728074123000000,1727728134923000000,0
FilePageCache.maxCacheSizeInBytes,1727728074123000000,1727728134923000000,164626432
FilePageCacheLockFree.totalPagesRequestsMs,1727728074123000000,1727728134923000000,0
FilePageCache.disposedBuffers,1727728074123000000,1727728134923000000,3
FilePageCache.pageFastCacheHits,1727728074123000000,1727728134923000000,10957
StorageLockContext.competingThreads.90P,1727728074123000000,1727728134923000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1727728074123000000,1727728134923000000,0
FilePageCacheLockFree.heapBytesInUse,1727728074123000000,1727728134923000000,0
FilePageCache.totalPageDisposalsUs,1727728074123000000,1727728134923000000,2729
NonBlockingReadAction.failedExecutionsCount,1727728074123000000,1727728134923000000,1
AWTEventQueue.dispatchTime90PNs,1727728074123000000,1727728134923000000,0
AWTEventQueue.dispatchTimeAvgNs,1727728074123000000,1727728134923000000,0.0
AWTEventQueue.dispatchTimeMaxNs,1727728074123000000,1727728134923000000,0
NonBlockingReadAction.finalizedExecutionsCount,1727728074123000000,1727728134923000000,11
WriteAction.executionsCount,1727728074123000000,1727728134923000000,13
AWTEventQueue.eventsDispatched,1727728074123000000,1727728134923000000,0
FlushQueue.executionTime90PNs,1727728074123000000,1727728134923000000,0
FlushQueue.waitingTimeAvgNs,1727728074123000000,1727728134923000000,0.0
AWTEventQueue.dispatchTimeTotalNS,1727728074123000000,1727728134923000000,3686189630
FlushQueue.queueSizeMax,1727728074123000000,1727728134923000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1727728074123000000,1727728134923000000,782546
FlushQueue.queueSize90P,1727728074123000000,1727728134923000000,0
FlushQueue.waitingTimeMaxNs,1727728074123000000,1727728134923000000,0
